ID,Company,Initiative,Type,CIQ,CIQ_name,Country,Industry,Ultimate_parent,Count_member,Count_group,Country_listed,Country_match
2323,embedded / capital Management GmbH,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,DE,FALSE
2324,Ember Infrastructure,UNPRI,General,IQ567585580,"Ember Infrastructure Management, LP",US,Financials,"Ember Infrastructure Management Holdings, LP",1,1,US,TRUE
2325,EMC Gestion de Fortune SA,UNPRI,General,IQ37186394,EMC Gestion de Fortune SA,CH,Financials,EMC Gestion de Fortune SA,1,1,CH,TRUE
2326,EMCORE Asset Management AG,UNPRI,General,IQ34278466,EMCore Asset Management AG,CH,Financials,EMCore Asset Management AG,1,1,CH,TRUE
2327,Emerald Technology Ventures AG,UNPRI,General,IQ2520417,Emerald Technology Ventures AG,CH,Financials,Emerald Technology Ventures AG,1,1,CH,TRUE
2328,EMERAM Capital Partners GmbH,UNPRI,General,IQ223175400,EMERAM Capital Partners GmbH,DE,Financials,EMERAM Capital Partners GmbH,1,1,DE,TRUE
2329,Emerge Canada Inc.,UNPRI,General,IQ602930808,Emerge Canada Inc.,CA,0,Emerge Canada Inc.,1,1,CA,TRUE
2330,Emerge Capital Management,UNPRI,General,IQ576931558,Emerge Capital Management Inc.,US,Financials,Emerge Capital Management Inc.,1,1,US,TRUE
2331,EmergeVest,UNPRI,General,IQ262435039,EmergeVest Limited,HK,Financials,EmergeVest Limited,1,1,HK,TRUE
2332,Emerging Capital Partners,UNPRI,General,IQ33093063,Emerging Capital Partners LP,US,Financials,Emerging Capital Partners LP,1,1,US,TRUE
2333,EMH Partners GmbH,UNPRI,General,IQ247089133,EMH Partners GmbH,DE,Financials,EMH Partners GmbH,1,1,DE,TRUE
2334,Emirates NBD Asset Management,UNPRI,General,IQ109950151,Emirates NBD Asset Management Limited,AE,Financials,Dubai (Emirate of),1,1,AE,TRUE
8356,EMK Capital,TNFD Forum,Climate Change,IQ420360751,EMK Capital LLP,GB,Financials,EMK Capital LLP,2,2,,
2335,EMK Capital LLP,UNPRI,General,IQ420360751,EMK Capital LLP,GB,Financials,EMK Capital LLP,2,2,JE,FALSE
6528,Emmi Vorsorgestiftung,CA100+,Climate change,IQ566444374,Emmi-Vorsorgestiftung,CH,0,Emmi-Vorsorgestiftung,1,1,CH,TRUE
2336,Empira,UNPRI,General,IQ271871640,Empira AG,CH,0,Empira AG,1,1,CH,TRUE
2337,Employees Provident Fund,UNPRI,General,IQ634946803,Employees Provident Fund,PK,Financials,Bestway Group Limited,1,1,MY,FALSE
6308,Employees Retirement System of the State of Hawaii,CA100+,Climate change,IQ3534972,Employees' Retirement System of The State of Hawaii,US,Financials,Employees' Retirement System of The State of Hawaii,2,2,US,TRUE
2338,Employees' Retirement System of the State of Hawaii,UNPRI,General,IQ3534972,Employees' Retirement System of The State of Hawaii,US,Financials,Employees' Retirement System of The State of Hawaii,2,2,US,TRUE
2339,Empowerment Capital Investment Partners (Pty) Ltd,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,ZA,FALSE
2340,EMR Capital,UNPRI,General,IQ143723806,EMR Capital Pty. Ltd.,AU,Financials,EMR Capital Pty. Ltd.,1,1,HK,FALSE
2341,Emso Asset Management Limited,UNPRI,General,IQ47230014,EMSO Asset Management Limited,GB,Financials,EMSO Asset Management Limited,1,1,GB,TRUE
2342,EMZ Partners,UNPRI,General,IQ20271,EMZ Partners,FR,Financials,EMZ Partners,1,1,FR,TRUE
2343,Enabling Microfinance AG,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,LI,FALSE
2344,Enam Asset Management Company Private Limited,UNPRI,General,,(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),(Invalid Identifier),1,1,IN,FALSE
2345,Encap Investments L.P.,UNPRI,General,IQ678574,EnCap Investments L.P.,US,Financials,EnCap Investments L.P.,1,1,US,TRUE
